topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label,dominant_category_share
63,70,7258559.5,0.025950213866707338,entertainment,"{'entertainment': 62, 'food': 3, 'gaming': 2, 'tech': 2, 'fitness': 1}",63_order_food_games_roulette,0.8857142857142857
19,423,4562455.0,0.046060968565913483,research_science,"{'research_science': 391, 'food': 9, 'tech': 9, 'entertainment': 8, 'gaming': 4, 'fitness': 2}",19_nile blue_science chemistry_chemical_chemistry,0.9243498817966903
75,83,2530912.0,0.015205213215959757,fitness,"{'fitness': 68, 'research_science': 5, 'entertainment': 4, 'food': 3, 'gaming': 2, 'tech': 1}",75_gym_olympic_olympics_ballerina,0.8192771084337349
71,46,2002146.5,0.03304409663464515,food,"{'food': 43, 'gaming': 2, 'entertainment': 1}",71_roger_dish_restaurant_chef,0.9347826086956522
21,386,1915520.5,0.03763353121620226,gaming,"{'gaming': 235, 'entertainment': 90, 'tech': 38, 'fitness': 12, 'food': 7, 'research_science': 4}",21_youtuber_newsletter_headphones_ig,0.6088082901554405
15,404,1854462.5,0.030911702249680303,research_science,"{'research_science': 359, 'tech': 19, 'entertainment': 14, 'gaming': 11, 'food': 1}",15_engineering_real engineering_engineer_infrastructure,0.8886138613861386
77,46,1684608.5,0.05065363257553537,gaming,"{'gaming': 42, 'entertainment': 2, 'research_science': 1, 'fitness': 1}",77_season episode_episode_episode check_finale,0.9130434782608695
84,56,1298638.5,0.034137529949668476,entertainment,"{'entertainment': 35, 'fitness': 15, 'gaming': 4, 'food': 1, 'tech': 1}",84_day day_visited_days_everyday,0.625
30,272,1267396.5,0.05591307300509338,research_science,"{'research_science': 256, 'tech': 10, 'entertainment': 3, 'fitness': 2, 'gaming': 1}",30_scientists_researchers_scientist_science future,0.9411764705882353
32,307,1012700.0,0.0448032476818748,research_science,"{'research_science': 290, 'entertainment': 8, 'tech': 6, 'gaming': 2, 'fitness': 1}",32_universe_space_channels german_soundcloud bandcamp,0.9446254071661238
31,217,828008.0,0.03396173317154539,gaming,"{'gaming': 152, 'entertainment': 22, 'tech': 18, 'research_science': 9, 'food': 8, 'fitness': 8}",31_stream_streams_live stream_twitch,0.7004608294930875
9,538,697120.5,0.03259452123350423,gaming,"{'gaming': 395, 'entertainment': 103, 'fitness': 18, 'tech': 10, 'research_science': 9, 'food': 3}",9_minecraft_gamer_zelda_gaming,0.7342007434944238
52,172,690076.0,0.03809634107197073,research_science,"{'research_science': 129, 'tech': 36, 'entertainment': 6, 'food': 1}",52_nuclear fusion_nuclear_fusion_energy,0.75
85,66,596431.5,0.03639012254058732,tech,"{'tech': 46, 'research_science': 17, 'gaming': 2, 'entertainment': 1}",85_engine_engines_turbo_motor,0.696969696969697
53,136,593247.5,0.04142926595332476,research_science,"{'research_science': 107, 'entertainment': 15, 'food': 6, 'gaming': 6, 'tech': 2}",53_medicine_pandemic_immune_health,0.7867647058823529
23,324,570605.0,0.02998415907780614,tech,"{'tech': 186, 'entertainment': 81, 'research_science': 33, 'gaming': 13, 'food': 7, 'fitness': 4}",23_make videos_video written_videos_china,0.5740740740740741
6,708,498816.0,0.03770643534512251,research_science,"{'research_science': 692, 'tech': 8, 'entertainment': 3, 'gaming': 3, 'fitness': 2}",6_numberphile_numbers_mathematician_mathematics comedy,0.9774011299435028
13,576,498363.0,0.038714865309404586,research_science,"{'research_science': 573, 'entertainment': 2, 'food': 1}",13_black holes_dark matter_spacetime_space time,0.9947916666666666
69,70,462890.0,0.03088577188869062,food,"{'food': 62, 'entertainment': 5, 'research_science': 2, 'fitness': 1}",69_mcdonald_american_british_fast food,0.8857142857142857
66,54,441002.5,0.01849446119304984,entertainment,"{'entertainment': 52, 'research_science': 2}",66_rocket_rocket launch_league_code,0.9629629629629629
58,72,413171.5,0.0506536886667055,gaming,"{'gaming': 64, 'food': 4, 'tech': 1, 'entertainment': 1, 'research_science': 1, 'fitness': 1}",58_snapchat_science humor_comedy_games gaming,0.8888888888888888
10,540,372376.0,0.036956764520631014,research_science,"{'research_science': 515, 'entertainment': 12, 'tech': 9, 'gaming': 2, 'fitness': 2}",10_planets_planetary_planet_jupiter,0.9537037037037037
61,101,299142.0,0.03696152688399489,entertainment,"{'entertainment': 56, 'gaming': 22, 'research_science': 13, 'tech': 5, 'fitness': 4, 'food': 1}",61_beat_kill_killed_maze,0.5544554455445545
20,463,279537.0,0.03686690690215024,gaming,"{'gaming': 389, 'entertainment': 48, 'research_science': 18, 'fitness': 4, 'tech': 3, 'food': 1}",20_haunted_ghost_horror_halloween,0.8401727861771058
83,136,278278.0,0.038834038551951104,food,"{'food': 61, 'research_science': 47, 'fitness': 15, 'gaming': 6, 'tech': 4, 'entertainment': 3}",83_coffee_brew_roast_roasting,0.4485294117647059
24,319,252927.0,0.03291868980786719,research_science,"{'research_science': 313, 'entertainment': 3, 'tech': 2, 'food': 1}",24_symbols_minutephysics twitter_black holes_minutephysics google,0.9811912225705329
38,227,250273.0,0.03935113318845079,research_science,"{'research_science': 223, 'tech': 4}",38_quantum physics_physics quantum_quantum_quantum mechanics,0.9823788546255506
11,552,230711.5,0.02982499087031025,tech,"{'tech': 283, 'research_science': 231, 'entertainment': 19, 'gaming': 13, 'fitness': 4, 'food': 2}",11_tweet ideas_day instagram_gadgets_like camera,0.5126811594202898
22,418,224691.0,0.03890572824187753,research_science,"{'research_science': 261, 'entertainment': 131, 'tech': 15, 'gaming': 8, 'food': 2, 'fitness': 1}",22_extinction_hank green_national geographic_wildlife,0.6244019138755981
2,1544,221290.0,0.025693826932579076,gaming,"{'gaming': 1371, 'entertainment': 69, 'tech': 59, 'research_science': 22, 'fitness': 15, 'food': 8}",2_fortnite_battle_royale_aim,0.8879533678756477
29,235,204417.0,0.03649402936155016,research_science,{'research_science': 235},29_periodic_elements_element_atoms,1.0
18,362,201483.5,0.03320266482059541,research_science,"{'research_science': 317, 'tech': 41, 'entertainment': 2, 'food': 1, 'gaming': 1}",18_computers_computer science_programming_computer,0.8756906077348067
82,78,201469.0,0.04459341340654212,tech,"{'tech': 67, 'gaming': 9, 'entertainment': 2}",82_windows_os_microsoft_install,0.8589743589743589
56,149,189218.0,0.03259929600648122,gaming,"{'gaming': 136, 'research_science': 7, 'entertainment': 3, 'tech': 3}",56_doom_gameplay walkthrough_gameplay_zombies,0.912751677852349
41,140,174703.0,0.04295484318110124,tech,"{'tech': 115, 'gaming': 10, 'research_science': 7, 'entertainment': 6, 'food': 1, 'fitness': 1}",41_nintendo_nintendo switch_retro tech_retro,0.8214285714285714
62,102,169380.5,0.031184179478494674,food,"{'food': 76, 'research_science': 13, 'fitness': 8, 'entertainment': 4, 'gaming': 1}",62_fishing_fish_shrimp_pond,0.7450980392156863
34,221,168980.0,0.040047627685488175,entertainment,"{'entertainment': 165, 'gaming': 25, 'research_science': 17, 'tech': 10, 'fitness': 3, 'food': 1}",34_disturbing_twitter_instagram_breakdown,0.746606334841629
42,159,152042.0,0.031692643642785435,gaming,"{'gaming': 62, 'fitness': 54, 'entertainment': 29, 'tech': 10, 'food': 3, 'research_science': 1}",42_tiktok_instagram tiktok_tik tok_friends tik,0.389937106918239
12,434,142114.5,0.030766816981574255,fitness,"{'fitness': 395, 'research_science': 16, 'entertainment': 10, 'tech': 6, 'food': 4, 'gaming': 3}",12_supplements_fitness_muscle_gym,0.9101382488479263
28,224,135437.0,0.024898180148550608,research_science,"{'research_science': 216, 'tech': 8}",28_statistics_data_statistical_data science,0.9642857142857143
